case_id,model_id,quarter,segment,metric_name,current_value,previous_value,historical_mean,historical_std,percent_change,z_score,rolling_mean,rolling_std,sample_size,missing_rate,expected_direction,scenario_type,scenario_difficulty,ground_truth_anomaly,ground_truth_severity,ground_truth_anomaly_type,ground_truth_reason,available_evidence,contradictory_evidence,missing_evidence_flag
case_0000,model_08,2023Q4,small_business,score_mean,628.733518,628.921064,624.784347,8.434929,-0.000298,0.468193,622.540802,6.305153,4392,0.008175,stable,normal_variation,moderate,False,none,normal_variation,Final quarter within normal historical variation.,"features,deterministic,chart",False,False
case_0001,model_08,2023Q4,commercial,score_mean,668.852045,635.606865,627.881326,14.273922,0.052305,2.87032,637.759711,21.473327,1291,0.014447,stable,sudden_level_shift,moderate,True,medium,level_shift,Sudden level shift in the final quarter relative to history.,"features,deterministic,chart",False,False
case_0002,model_08,2023Q4,commercial,auc,0.772373,0.786832,0.813106,0.017354,-0.018377,-2.347244,0.795116,0.016727,3100,0.003212,lower_is_worse,gradual_drift,easy,True,medium,gradual_drift,Monotonic drift over the most recent four quarters.,"features,deterministic,chart",False,False
case_0003,model_06,2023Q4,commercial,default_rate,0.026843,0.038506,0.041739,0.008689,-0.302899,-1.714472,0.039251,0.009302,2643,0.009219,higher_is_worse,seasonal_movement,easy,False,none,seasonal,Final-quarter movement matches the established seasonal pattern.,"features,deterministic,chart",False,False
case_0004,model_05,2023Q4,retail,score_mean,619.985076,613.188193,617.596023,8.437683,0.011084,0.283141,618.764152,3.247911,344,0.260742,stable,missing_data_spike,easy,True,medium,data_quality,Sharp rise in missing-data rate undermines metric reliability.,"features,deterministic,chart",False,False
case_0005,model_08,2023Q4,small_business,score_mean,656.087026,629.619581,621.640766,21.968694,0.042037,1.56797,637.56993,16.702932,65,0.02947,stable,small_sample_instability,ambiguous,False,none,small_sample_instability,Apparent movement attributable to small-sample variance.,"features,deterministic,chart",False,False
case_0006,model_06,2023Q4,commercial,psi,0.102342,0.062054,0.050002,0.015442,0.649249,3.389519,0.064423,0.02326,1501,0.012718,higher_is_worse,segment_specific_anomaly,easy,True,high,segment_anomaly,Shift isolated to this segment while peers remain stable.,"features,deterministic,chart",False,False
case_0007,model_01,2023Q4,commercial,score_mean,642.239645,611.410459,621.657303,12.869113,0.050423,1.59936,624.816201,11.279353,3844,0.009931,stable,contradictory_metric_movement,moderate,True,medium,contradiction,Metric moves inconsistently with a paired metric; needs review.,"features,deterministic,chart",True,False
case_0008,model_08,2023Q4,retail,ks_statistic,0.395081,0.450636,0.452923,0.015669,-0.123282,-3.691376,0.438726,0.026185,2678,0.012756,lower_is_worse,macro_shock,easy,True,high,macro_shock,Large coordinated movement consistent with a macro shock.,"features,deterministic,chart",False,False
case_0009,model_03,2023Q4,commercial,auc,0.995324,0.759069,0.826005,0.035403,0.311242,4.782671,0.861241,0.088867,3105,0.003902,lower_is_worse,false_positive_trap,moderate,False,none,expected_movement,Large movement is expected (planned rebasing); not a model anomaly.,"features,deterministic,chart",False,False
case_0010,model_03,2023Q4,commercial,ks_statistic,0.381753,0.555821,0.463846,0.040019,-0.313172,-2.051357,0.47869,0.062338,83,0.032911,lower_is_worse,false_negative_trap,ambiguous,True,medium,masked_shift,Genuine shift masked by sampling noise; weak single-metric signal.,"features,deterministic,chart",False,False
case_0011,model_02,2023Q4,commercial,score_mean,684.842439,599.726724,626.204369,17.617436,0.141924,3.328411,635.576814,33.064839,1159,0.001854,stable,incomplete_evidence,ambiguous,True,low,indeterminate,Key evidence is missing; case is not decidable as presented.,"features,chart",False,True
case_0012,model_08,2023Q4,commercial,default_rate,0.060906,0.037517,0.037283,0.010426,0.623408,2.26573,0.043793,0.011791,1214,0.029984,higher_is_worse,noisy_data,moderate,True,low,noisy_signal,Signal is heavily obscured by volatility.,"features,deterministic,chart",False,False
case_0013,model_03,2023Q4,commercial,psi,0.057754,0.079888,0.063162,0.032879,-0.27706,-0.164485,0.076828,0.040214,3063,0.013924,higher_is_worse,recovery_after_shock,moderate,False,none,recovery,Prior shock has recovered to baseline; final quarter is normal.,"features,deterministic,chart",False,False
case_0014,model_02,2023Q4,retail,ks_statistic,0.51471,0.442962,0.447808,0.01571,0.161974,4.258559,0.468264,0.028152,3064,0.015139,lower_is_worse,metric_definition_change,moderate,False,none,definition_change,"Step change reflects a metric-definition change, not degradation.","features,deterministic,chart",False,False
case_0015,model_07,2023Q4,retail,default_rate,0.032311,0.040251,0.039145,0.00625,-0.197257,-1.093371,0.041776,0.00617,3800,0.007183,higher_is_worse,normal_variation,moderate,False,none,normal_variation,Final quarter within normal historical variation.,"features,deterministic,chart",False,False
case_0016,model_02,2023Q4,commercial,default_rate,0.049332,0.041748,0.03885,0.002666,0.181667,3.931057,0.041716,0.004755,3023,0.015502,higher_is_worse,sudden_level_shift,easy,True,high,level_shift,Sudden level shift in the final quarter relative to history.,"features,deterministic,chart",False,False
